WikiRevId,LastTimestamp,ShouldRevert,NotSure,LooksGood
enwiki:945344719,1584101153,0,1,0
enwiki:945344726,1584101146,0,1,0
enwiki:945344728,1584101144,0,1,0
enwiki:945344733,1584101141,0,1,0
enwiki:945344734,1584101133,0,1,0
enwiki:945344736,1584101117,0,1,0
enwiki:945344737,1584101109,0,1,0
enwiki:945344738,1584101107,0,1,0
enwiki:945344740,1584101099,0,1,0
enwiki:945344741,1584101091,0,1,0
enwiki:945344743,1584101087,0,1,0
enwiki:945344744,1584101082,0,1,0
enwiki:945345245,1584101078,0,1,0
enwiki:945344752,1584100963,0,1,0
enwiki:945344753,1584100957,0,1,0
enwiki:945344756,1584100955,0,1,0
enwiki:945344757,1584100945,0,0,1
enwiki:945344763,1584100939,0,1,0
enwiki:945344765,1584100936,0,1,0
enwiki:945344768,1584100934,0,1,0
enwiki:945344769,1584100931,0,1,0
enwiki:945344770,1584100929,0,1,0
enwiki:945344772,1584100927,0,1,0
enwiki:945344773,1584100918,0,1,0
enwiki:945344776,1584100914,0,1,0
enwiki:945344780,1584100911,0,1,0
enwiki:945344786,1584100853,0,1,0
enwiki:945344788,1584100834,0,1,0
enwiki:945344789,1584100825,0,1,0
enwiki:945344793,1584100819,0,1,0
enwiki:945344796,1584100809,0,0,1
enwiki:945344800,1584100801,0,1,0
enwiki:945344805,1584100795,0,1,0
enwiki:945345305,1584100792,0,1,0
enwiki:945344814,1584100788,0,1,0
enwiki:945344817,1584100781,0,1,0
enwiki:945344821,1584100768,0,1,0
enwiki:945344828,1584100766,0,1,0
enwiki:945344829,1584100763,0,1,0
enwiki:945344830,1584100760,0,1,0
enwiki:945344831,1584100752,0,1,0
enwiki:945344832,1584100747,0,1,0
enwiki:945344834,1584100742,0,1,0
enwiki:945344334,1584100733,0,1,0
enwiki:945344836,1584100729,0,1,0
enwiki:945344846,1584100725,0,1,0
enwiki:945344847,1584100704,0,1,0
enwiki:945344857,1584100701,0,1,0
enwiki:945344859,1584100698,0,1,0
enwiki:945344861,1584100676,0,1,0
enwiki:945344862,1584100672,0,1,0
enwiki:945344362,1584100668,0,1,0
enwiki:945344364,1584100665,0,0,1
enwiki:945344866,1584100659,0,1,0
enwiki:945344371,1584100655,0,1,0
enwiki:945344873,1584100649,0,1,0
enwiki:945344374,1584100635,1,0,0
enwiki:945344874,1584100600,0,1,0
enwiki:945344379,1584100593,0,1,0
enwiki:945344879,1584100591,0,1,0
enwiki:945344884,1584100589,0,1,0
enwiki:945344885,1584100584,0,1,0
enwiki:945344889,1584100576,0,1,0
enwiki:945344890,1584100570,0,1,0
enwiki:945344893,1584100560,0,1,0
enwiki:945344895,1584100553,0,1,0
enwiki:945344897,1584100550,0,1,0
enwiki:945344898,1584100547,0,1,0
enwiki:945344900,1584100544,0,1,0
enwiki:945344903,1584100542,0,1,0
enwiki:945344905,1584100539,0,1,0
enwiki:945344906,1584100536,0,0,1
enwiki:945344407,1584100531,0,0,1
enwiki:945344411,1584100523,0,1,0
enwiki:945344413,1584100520,0,1,0
enwiki:945344914,1584100517,0,1,0
enwiki:945344920,1584100514,0,1,0
enwiki:945344923,1584100511,0,1,0
enwiki:945344425,1584100507,0,1,0
enwiki:945344928,1584100503,0,1,0
enwiki:945344929,1584100501,0,1,0
enwiki:945344431,1584100498,0,1,0
enwiki:945344933,1584100492,0,1,0
enwiki:945344436,1584100489,0,1,0
enwiki:945344939,1584100484,0,1,0
enwiki:945344940,1584100477,0,1,0
enwiki:945344443,1584100475,0,1,0
enwiki:945344945,1584100468,0,1,0
enwiki:945344948,1584100464,0,1,0
enwiki:945344450,1584100462,0,1,0
enwiki:945344953,1584100458,0,1,0
enwiki:945344958,1584100450,0,1,0
enwiki:945344964,1584100445,0,1,0
enwiki:945344967,1584100442,0,1,0
enwiki:945344968,1584100419,0,1,0
enwiki:945344974,1584100412,0,1,0
enwiki:945344977,1584100405,0,1,0
enwiki:945344978,1584100402,0,1,0
enwiki:945344979,1584100397,0,1,0
enwiki:945344980,1584100394,0,1,0
enwiki:945344981,1584100366,0,1,0
enwiki:945344487,1584100361,0,1,0
enwiki:945344988,1584100357,0,1,0
enwiki:945344990,1584100354,0,1,0
enwiki:945344491,1584100350,0,1,0
enwiki:945344991,1584100346,0,1,0
enwiki:945344992,1584100344,0,1,0
enwiki:945344493,1584100322,0,1,0
enwiki:945344993,1584100320,0,1,0
enwiki:945344994,1584100313,0,1,0
enwiki:945344997,1584100308,0,1,0
enwiki:945344998,1584100304,0,1,0
enwiki:945344501,1584100300,0,1,0
enwiki:945345006,1584100287,0,1,0
enwiki:945345007,1584100284,0,1,0
enwiki:945345010,1584100281,0,1,0
enwiki:945345015,1584100279,0,1,0
enwiki:945345017,1584100273,0,1,0
enwiki:945345018,1584100271,0,1,0
enwiki:945345019,1584100266,0,1,0
enwiki:945345020,1584100261,0,1,0
enwiki:945345022,1584100257,0,1,0
enwiki:945345026,1584100250,0,1,0
enwiki:945344527,1584100248,0,1,0
enwiki:945345027,1584100246,0,1,0
enwiki:945345029,1584100243,0,1,0
enwiki:945345033,1584100236,0,1,0
enwiki:945345035,1584100229,0,1,0
enwiki:945345036,1584100220,0,1,0
enwiki:945344537,1584100133,0,0,1
enwiki:945345037,1584100094,0,1,0
enwiki:945344539,1584100091,0,1,0
enwiki:945345040,1584100031,0,1,0
enwiki:945345042,1584099997,0,1,0
enwiki:945345047,1584099991,0,1,0
enwiki:945344550,1584099981,0,1,0
enwiki:945344551,1584099973,0,1,0
enwiki:945345051,1584099968,0,1,0
enwiki:945345053,1584099963,0,1,0
enwiki:945345055,1584099957,0,1,0
enwiki:945345064,1584099955,0,1,0
enwiki:945345065,1584099953,0,1,0
enwiki:945344570,1584099923,1,0,0
enwiki:945345075,1584099902,0,1,0
enwiki:945344581,1584099900,0,1,0
enwiki:945345083,1584099896,0,1,0
enwiki:945344587,1584099894,0,1,0
enwiki:945345091,1584099890,0,1,0
enwiki:945345096,1584099887,0,1,0
enwiki:945345097,1584099257,1,0,0
enwiki:945345098,1584099136,0,1,0
enwiki:945344601,1584099132,0,1,0
enwiki:945345102,1584099109,0,0,1
enwiki:945345108,1584099106,0,1,0
enwiki:945345110,1584099095,0,0,1
enwiki:945345111,1584099082,0,1,0
enwiki:945344616,1584099079,0,1,0
enwiki:945345117,1584099069,0,0,1
enwiki:945344620,1584099014,0,1,0
enwiki:945345122,1584099007,0,1,0
enwiki:945344625,1584099000,0,1,0
enwiki:945345125,1584098994,0,0,1
enwiki:945345130,1584098967,0,1,0
enwiki:945345132,1584098961,0,1,0
enwiki:945344636,1584098951,0,0,1
enwiki:945345137,1584098943,0,1,0
enwiki:945345144,1584098933,0,1,0
enwiki:945345148,1584098930,0,1,0
enwiki:945345150,1584098926,0,1,0
enwiki:945345153,1584098921,0,1,0
enwiki:945345154,1584098916,0,1,0
enwiki:945344658,1584098900,0,0,1
enwiki:945345158,1584098885,0,1,0
enwiki:945345160,1584098882,0,1,0
enwiki:945345164,1584098878,0,1,0
enwiki:945344671,1584098873,0,1,0
enwiki:945344672,1584098865,0,1,0
enwiki:945345172,1584098859,0,1,0
enwiki:945344674,1584098855,0,1,0
enwiki:945345176,1584098841,0,1,0
enwiki:945345177,1584098835,0,1,0
enwiki:945345178,1584098825,0,1,0
enwiki:945345179,1584098822,0,1,0
enwiki:945344680,1584098817,0,1,0
enwiki:945345183,1584098814,0,1,0
enwiki:945344684,1584098807,0,1,0
enwiki:945345186,1584098784,0,1,0
enwiki:945344687,1584098776,0,1,0
enwiki:945344688,1584098767,0,1,0
enwiki:945345189,1584098761,0,1,0
enwiki:945345192,1584098757,0,1,0
enwiki:945345193,1584098750,0,0,1
enwiki:945345194,1584098734,0,1,0
enwiki:945345197,1584098727,0,1,0
enwiki:945345202,1584098720,0,1,0
enwiki:945345203,1584098713,0,1,0
enwiki:945344706,1584098705,0,1,0
enwiki:945345208,1584098700,0,1,0
enwiki:945345209,1584098691,0,1,0
enwiki:945345210,1584098688,0,1,0
enwiki:945345211,1584098685,0,1,0
enwiki:945345214,1584098678,0,1,0
enwiki:945345216,1584098637,0,1,0
enwiki:945344717,1584098624,0,1,0
enwiki:945345218,1584098617,0,1,0
enwiki:945345221,1584098615,0,1,0
enwiki:945344724,1584098610,0,1,0
enwiki:945345232,1584098608,0,1,0
enwiki:945345235,1584098604,0,1,0
enwiki:945345242,1584098600,0,1,0
enwiki:945345243,1584098597,0,1,0
enwiki:945345244,1584098594,0,1,0
enwiki:945344747,1584098591,0,1,0
enwiki:945344751,1584098581,0,1,0
enwiki:945345251,1584098574,0,1,0
enwiki:945345255,1584098572,0,1,0
enwiki:945345257,1584098570,0,1,0
enwiki:945345260,1584098567,0,1,0
enwiki:945344761,1584098557,0,1,0
